Company_id,Name,Industry,Employee_count,LinkedIn_Followers
5001,Uplers, IT Services and IT Consulting,5000,668410
5002,Infosys, IT Services and IT Consulting,10001,6457687
5003,Sutherland, IT Services and IT Consulting,10001,480832
5004,Genpact, IT Services and IT Consulting,10001,2258530
5005,Accenture in India, IT Services and IT Consulting,10001,1494146
5006,Wipro, IT Services and IT Consulting,10001,6404693
5007,Tata Consultancy Services, IT Services and IT Consulting,10001,11324016
5008,UST, IT Services and IT Consulting,10001,724373
5009,LTIMindtree, IT Services and IT Consulting,10001,58311
5010,JLL, Real Estate,10001,1596438
5011,EY, Accounting,10001,6953289
5012,Vodafone Idea Limited, Telecommunications,10001,225455
